Date,Time,Open,High,Low,Close,Volume,Class - Next Close,Class - Price UP,Class Pips Change,Class 10 Pip change,Class 25 pip change
2017.01.13,23:45,1.06407,1.06425,1.06385,1.06417,918,1.06239,FALSE,-17.8,-10Pips,ranging
2017.01.16,0:00,1.06069,1.06304,1.0605,1.06239,563,1.06154,FALSE,-8.5,ranging,ranging
2017.01.16,0:15,1.06239,1.06296,1.06148,1.06154,461,1.06212,TRUE,5.8,ranging,ranging
2017.01.16,0:30,1.06156,1.06212,1.06141,1.06212,915,1.06223,TRUE,1.1,ranging,ranging
2017.01.16,0:45,1.06212,1.06223,1.06209,1.06223,246,1.06343,TRUE,12,+10Pips,ranging
2017.01.16,1:00,1.06223,1.06358,1.06211,1.06343,3224,1.06346,TRUE,0.3,ranging,ranging
2017.01.16,1:15,1.06343,1.06351,1.0629,1.06346,2056,1.06263,FALSE,-8.3,ranging,ranging
2017.01.16,1:30,1.06347,1.06355,1.06263,1.06263,1025,1.06273,TRUE,1,ranging,ranging
2017.01.16,1:45,1.06263,1.06301,1.06244,1.06273,1411,1.06255,FALSE,-1.8,ranging,ranging
2017.01.16,2:00,1.06274,1.06293,1.06241,1.06255,1535,1.06298,TRUE,4.3,ranging,ranging
2017.01.16,2:15,1.06253,1.06329,1.06251,1.06298,1404,1.06279,FALSE,-1.9,ranging,ranging
2017.01.16,2:30,1.06298,1.06303,1.0627,1.06279,1176,1.06286,TRUE,0.7,ranging,ranging
2017.01.16,2:45,1.06279,1.06344,1.06273,1.06286,1616,1.0627,FALSE,-1.6,ranging,ranging
2017.01.16,3:00,1.06286,1.06304,1.06247,1.0627,1509,1.06278,TRUE,0.8,ranging,ranging
2017.01.16,3:15,1.06271,1.06286,1.06231,1.06278,1491,1.06179,FALSE,-9.9,ranging,ranging
2017.01.16,3:30,1.06279,1.06279,1.06175,1.06179,1733,1.06204,TRUE,2.5,ranging,ranging
2017.01.16,3:45,1.06178,1.06223,1.06159,1.06204,1692,1.06151,FALSE,-5.3,ranging,ranging
2017.01.16,4:00,1.06204,1.06217,1.06106,1.06151,1715,1.0621,TRUE,5.9,ranging,ranging
2017.01.16,4:15,1.06151,1.06216,1.06139,1.0621,2357,1.06204,FALSE,-0.6,ranging,ranging
2017.01.16,4:30,1.0621,1.06273,1.06188,1.06204,2886,1.06215,TRUE,1.1,ranging,ranging
