Date,Time,Open,High,Low,Close,Volume,Pos_Rel_To_MA_10,Pos_Rel_To_MA_20,5_Period_Trend,10_Period_Trend,CandleStick_Pattern,Class_10_pips
2017.01.09,6:00,1.05298,1.053,1.05237,1.05264,2007,BELOW,BELOW,RANGING,RANGING,NONE,RANGING
2017.01.09,7:00,1.05263,1.05322,1.05166,1.05237,2905,BELOW,BELOW,DOWNTREND,RANGING,NONE,+10pips
2017.01.09,8:00,1.05238,1.05366,1.05191,1.05329,2252,ABOVE,BELOW,RANGING,RANGING,NONE,RANGING
2017.01.09,9:00,1.05328,1.05411,1.05292,1.05372,3899,ABOVE,BELOW,RANGING,RANGING,NONE,+10pips
2017.01.09,10:00,1.05373,1.0556,1.05345,1.05481,5607,ABOVE,ABOVE,RANGING,RANGING,NONE,-10pips
2017.01.09,11:00,1.05479,1.05523,1.05235,1.05242,6291,BELOW,BELOW,RANGING,RANGING,NONE,-10pips
2017.01.09,12:00,1.0524,1.05254,1.05108,1.05182,4876,BELOW,BELOW,RANGING,RANGING,NONE,+10pips
2017.01.09,13:00,1.05184,1.05327,1.05125,1.05243,6022,BELOW,BELOW,RANGING,RANGING,NONE,RANGING
2017.01.09,14:00,1.05243,1.05315,1.052,1.05223,4033,BELOW,BELOW,RANGING,RANGING,NONE,+10pips
2017.01.09,15:00,1.0522,1.05419,1.05127,1.05347,6234,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.09,16:00,1.05346,1.05488,1.05246,1.05307,7083,ABOVE,BELOW,RANGING,RANGING,NONE,+10pips
2017.01.09,17:00,1.05307,1.05638,1.05285,1.05552,6244,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.09,18:00,1.05553,1.05831,1.05545,1.05755,6270,ABOVE,ABOVE,RANGING,RANGING,NONE,-10pips
2017.01.09,19:00,1.05754,1.05788,1.05615,1.05707,3264,ABOVE,ABOVE,RANGING,RANGING,NONE,RANGING
2017.01.09,20:00,1.05707,1.05775,1.05634,1.05642,2063,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.09,21:00,1.05639,1.05783,1.05622,1.05776,1836,ABOVE,ABOVE,RANGING,RANGING,NONE,-10pips
2017.01.09,22:00,1.0578,1.05781,1.05578,1.05689,2296,ABOVE,ABOVE,RANGING,RANGING,NONE,RANGING
2017.01.09,23:00,1.05689,1.05747,1.05669,1.05714,1228,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.10,0:00,1.05733,1.05887,1.057,1.05841,1955,ABOVE,ABOVE,RANGING,RANGING,NONE,RANGING
2017.01.10,1:00,1.05841,1.05892,1.05823,1.05857,2410,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.10,2:00,1.05857,1.05995,1.05841,1.059,3977,ABOVE,ABOVE,UPTREND,RANGING,NONE,-10pips
2017.01.10,3:00,1.05899,1.05951,1.05757,1.05787,4187,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.10,4:00,1.05787,1.06117,1.0576,1.06068,6581,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.10,5:00,1.06068,1.0627,1.06044,1.06157,6949,ABOVE,ABOVE,RANGING,RANGING,NONE,RANGING
2017.01.10,6:00,1.06156,1.06193,1.06073,1.0608,4526,ABOVE,ABOVE,RANGING,RANGING,NONE,RANGING
2017.01.10,7:00,1.06083,1.06142,1.06028,1.06097,4306,ABOVE,ABOVE,RANGING,RANGING,NONE,-10pips
2017.01.10,8:00,1.06095,1.06158,1.05936,1.05953,4113,ABOVE,ABOVE,RANGING,RANGING,NONE,RANGING
2017.01.10,9:00,1.05952,1.06035,1.05893,1.05981,5096,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.10,10:00,1.05978,1.06202,1.05871,1.06039,7407,ABOVE,ABOVE,RANGING,RANGING,NONE,-10pips
2017.01.10,11:00,1.06038,1.06067,1.05901,1.05964,5404,BELOW,ABOVE,RANGING,RANGING,NONE,-10pips
2017.01.10,12:00,1.05966,1.06002,1.05801,1.05913,4530,BELOW,ABOVE,RANGING,RANGING,NONE,-10pips
2017.01.10,13:00,1.0591,1.05911,1.05771,1.05783,3437,BELOW,BELOW,RANGING,RANGING,NONE,-10pips
2017.01.10,14:00,1.05783,1.05849,1.05623,1.05687,5056,BELOW,BELOW,DOWNTREND,RANGING,NONE,-10pips
