Date,Time,Open,High,Low,Close,Volume,Pos_Rel_To_MA_20,Pos_Rel_To_MA_50,Pos_Rel_To_MA_100,Class_10_pips
2017.03.09,02:00,1.05382,1.05405,1.05375,1.05378,734,BELOW,BELOW,BELOW,RANGING
2017.03.09,02:00,1.05379,1.05399,1.05373,1.05384,541,BELOW,BELOW,BELOW,RANGING
2017.03.09,02:00,1.05385,1.05400,1.05368,1.05379,757,BELOW,BELOW,BELOW,RANGING
2017.03.09,03:00,1.05379,1.05432,1.05375,1.05421,1048,ABOVE,BELOW,BELOW,RANGING
2017.03.09,03:00,1.05421,1.05445,1.05395,1.05402,834,BELOW,BELOW,BELOW,RANGING
2017.03.09,03:00,1.05403,1.05411,1.05368,1.05404,1120,BELOW,BELOW,BELOW,RANGING
2017.03.09,03:00,1.05405,1.05440,1.05402,1.05427,987,ABOVE,BELOW,BELOW,RANGING
2017.03.09,04:00,1.05426,1.05427,1.05385,1.05393,1079,BELOW,BELOW,BELOW,RANGING
2017.03.09,04:00,1.05394,1.05423,1.05381,1.05420,805,ABOVE,BELOW,BELOW,RANGING
2017.03.09,04:00,1.05419,1.05425,1.05378,1.05393,993,BELOW,BELOW,BELOW,RANGING
2017.03.09,04:00,1.05392,1.05401,1.05374,1.05378,681,BELOW,BELOW,BELOW,RANGING
2017.03.09,05:00,1.05380,1.05390,1.05365,1.05373,727,BELOW,BELOW,BELOW,RANGING
2017.03.09,05:00,1.05374,1.05381,1.05360,1.05363,578,BELOW,BELOW,BELOW,RANGING
2017.03.09,05:00,1.05363,1.05364,1.05308,1.05309,1046,BELOW,BELOW,BELOW,RANGING
2017.03.09,05:00,1.05311,1.05328,1.05301,1.05304,826,BELOW,BELOW,BELOW,RANGING
2017.03.09,06:00,1.05307,1.05330,1.05289,1.05305,1221,BELOW,BELOW,BELOW,RANGING
2017.03.09,06:00,1.05306,1.05316,1.05289,1.05304,741,BELOW,BELOW,BELOW,RANGING
2017.03.09,06:00,1.05305,1.05320,1.05294,1.05302,538,BELOW,BELOW,BELOW,RANGING
2017.03.09,06:00,1.05301,1.05313,1.05292,1.05312,519,BELOW,BELOW,BELOW,RANGING
2017.03.09,07:00,1.05313,1.05313,1.05290,1.05298,586,BELOW,BELOW,BELOW,RANGING
2017.03.09,07:00,1.05299,1.05301,1.05284,1.05285,386,BELOW,BELOW,BELOW,RANGING
2017.03.09,07:00,1.05286,1.05319,1.05281,1.05311,535,BELOW,BELOW,BELOW,RANGING
2017.03.09,07:00,1.05312,1.05328,1.05307,1.05325,669,BELOW,BELOW,BELOW,RANGING
