2017.03.08,17:15,1.05580,1.05595,1.05546,1.05581,1598
2017.03.08,17:30,1.05588,1.05601,1.05540,1.05569,1609
2017.03.08,17:45,1.05567,1.05602,1.05530,1.05567,1660
2017.03.08,18:00,1.05566,1.05581,1.05507,1.05539,1683
2017.03.08,18:15,1.05538,1.05559,1.05457,1.05461,1478
2017.03.08,18:30,1.05458,1.05490,1.05435,1.05474,1364
2017.03.08,18:45,1.05474,1.05500,1.05457,1.05464,1132
2017.03.08,19:00,1.05464,1.05485,1.05378,1.05381,1111
2017.03.08,19:15,1.05380,1.05448,1.05376,1.05442,939
2017.03.08,19:30,1.05442,1.05451,1.05405,1.05420,1006
2017.03.08,19:45,1.05417,1.05445,1.05360,1.05364,1163
2017.03.08,20:00,1.05363,1.05436,1.05361,1.05397,1628
2017.03.08,20:15,1.05398,1.05488,1.05393,1.05486,1361
2017.03.08,20:30,1.05486,1.05503,1.05452,1.05481,1155
2017.03.08,20:45,1.05480,1.05504,1.05467,1.05486,805
2017.03.08,21:00,1.05487,1.05490,1.05434,1.05447,1043
2017.03.08,21:15,1.05448,1.05470,1.05428,1.05468,1169
2017.03.08,21:30,1.05467,1.05486,1.05454,1.05482,1049
2017.03.08,21:45,1.05484,1.05516,1.05467,1.05486,1194
2017.03.08,22:00,1.05486,1.05492,1.05428,1.05457,1005
2017.03.08,22:15,1.05456,1.05475,1.05423,1.05469,664
2017.03.08,22:30,1.05469,1.05497,1.05440,1.05440,1069
2017.03.08,22:45,1.05440,1.05447,1.05411,1.05437,1096
2017.03.08,23:00,1.05434,1.05441,1.05422,1.05436,487
2017.03.08,23:15,1.05435,1.05445,1.05425,1.05429,318
2017.03.08,23:30,1.05428,1.05440,1.05395,1.05396,366
2017.03.08,23:45,1.05397,1.05415,1.05386,1.05415,344
2017.03.09,00:00,1.05395,1.05423,1.05382,1.05421,272
2017.03.09,00:15,1.05420,1.05430,1.05389,1.05406,333
2017.03.09,00:30,1.05406,1.05418,1.05387,1.05412,197
2017.03.09,00:45,1.05412,1.05426,1.05392,1.05406,248
2017.03.09,01:00,1.05406,1.05436,1.05397,1.05404,632
2017.03.09,01:15,1.05405,1.05430,1.05393,1.05422,397
2017.03.09,01:30,1.05425,1.05440,1.05416,1.05437,257
2017.03.09,01:45,1.05436,1.05476,1.05433,1.05448,471
2017.03.09,02:00,1.05448,1.05451,1.05372,1.05382,1011
2017.03.09,02:15,1.05382,1.05405,1.05375,1.05378,734
2017.03.09,02:30,1.05379,1.05399,1.05373,1.05384,541
2017.03.09,02:45,1.05385,1.05400,1.05368,1.05379,757
2017.03.09,03:00,1.05379,1.05432,1.05375,1.05421,1048
2017.03.09,03:15,1.05421,1.05445,1.05395,1.05402,834
2017.03.09,03:30,1.05403,1.05411,1.05368,1.05404,1120
2017.03.09,03:45,1.05405,1.05440,1.05402,1.05427,987
